kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment,,,,Filter,This is the beam identifier. Need this as part of main ID stuff in DB,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,10,5404,-56.02,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,11,5404,-56.03,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,12,5405,-56.03,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,13,5404,-56.03,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,14,5406,-56.03,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,15,5404,-56.03,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,16,5405,-56.04,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,17,5405,-56.04,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,18,5404,-56.04,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,19,5406,-56.05,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,20,5406,-56.05,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,21,5406,-56.04,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,22,5404,-56.05,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,23,5405,-56.04,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
